empresa,uds_id,hsstart,hsstop,datai,dataf,sentido,linha,carro,qtpsg,valor_jornada,nao_sei
1,6220740,12:15:43,12:41:22,01/01/2024,01/01/2024,1,1702,20108,1,4,
1,6220740,12:15:43,12:41:22,01/01/2024,01/01/2024,1,1702,20108,2,8,
1,6220740,12:15:43,12:41:22,01/01/2024,01/01/2024,1,1702,20108,5,0,
1,6220740,12:15:43,12:41:22,01/01/2024,01/01/2024,1,1702,20108,2,8,5.0
1,6220768,12:44:35,13:09:55,01/01/2024,01/01/2024,1,1702,20108,1,4,25.0
1,6220768,12:44:35,13:09:55,01/01/2024,01/01/2024,1,1702,20108,2,0,
1,6220768,13:10:03,14:11:24,01/01/2024,01/01/2024,0,1702,20108,1,0,
1,6220768,13:10:03,14:11:24,01/01/2024,01/01/2024,0,1702,20108,1,0,
1,6220768,13:10:03,14:11:24,01/01/2024,01/01/2024,0,1702,20108,1,0,
1,6220768,13:10:03,14:11:24,01/01/2024,01/01/2024,0,1702,20108,2,0,
1,6220768,14:23:54,15:09:49,01/01/2024,01/01/2024,1,1702,20108,10,0,
1,6220768,14:23:54,15:09:49,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220768,14:23:54,15:09:49,01/01/2024,01/01/2024,1,1702,20108,9,36,
1,6220768,14:23:54,15:09:49,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220768,14:23:54,15:09:49,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220768,14:23:54,15:09:49,01/01/2024,01/01/2024,1,1702,20108,2,8,
1,6220768,14:23:54,15:09:49,01/01/2024,01/01/2024,1,1702,20108,6,25,5.0
1,6220768,15:09:52,15:53:08,01/01/2024,01/01/2024,0,1702,20108,3,12,
1,6220768,15:09:52,15:53:08,01/01/2024,01/01/2024,0,1702,20108,2,8,5.0
1,6220768,15:09:52,15:53:08,01/01/2024,01/01/2024,0,1702,20108,1,0,
1,6220768,15:09:52,15:53:08,01/01/2024,01/01/2024,0,1702,20108,4,16,
1,6220768,15:09:52,15:53:08,01/01/2024,01/01/2024,0,1702,20108,1,0,
1,6220790,15:54:27,16:18:29,01/01/2024,01/01/2024,0,1702,20108,1,4,25.0
1,6220790,15:54:27,16:18:29,01/01/2024,01/01/2024,0,1702,20108,2,8,
1,6220790,15:54:27,16:18:29,01/01/2024,01/01/2024,0,1702,20108,3,0,
1,6220790,16:23:44,17:08:00,01/01/2024,01/01/2024,1,1702,20108,3,12,
1,6220790,16:23:44,17:08:00,01/01/2024,01/01/2024,1,1702,20108,4,17,
1,6220790,16:23:44,17:08:00,01/01/2024,01/01/2024,1,1702,20108,4,16,
1,6220790,16:23:44,17:08:00,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220790,16:23:44,17:08:00,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220790,16:23:44,17:08:00,01/01/2024,01/01/2024,1,1702,20108,2,0,
1,6220790,17:08:21,18:10:34,01/01/2024,01/01/2024,0,1702,20108,3,12,
1,6220790,17:08:21,18:10:34,01/01/2024,01/01/2024,0,1702,20108,1,0,
1,6220790,17:08:21,18:10:34,01/01/2024,01/01/2024,0,1702,20108,8,0,
1,6220790,17:08:21,18:10:34,01/01/2024,01/01/2024,0,1702,20108,4,16,
1,6220790,17:08:21,18:10:34,01/01/2024,01/01/2024,0,1702,20108,6,25,5.0
1,6220790,17:08:21,18:10:34,01/01/2024,01/01/2024,0,1702,20108,1,0,
1,6220790,18:28:59,19:18:00,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220790,18:28:59,19:18:00,01/01/2024,01/01/2024,1,1702,20108,7,29,75.0
1,6220790,18:28:59,19:18:00,01/01/2024,01/01/2024,1,1702,20108,5,20,
1,6220790,18:28:59,19:18:00,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220790,18:28:59,19:18:00,01/01/2024,01/01/2024,1,1702,20108,2,0,
1,6220790,18:28:59,19:18:00,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220790,19:18:03,20:19:13,01/01/2024,01/01/2024,0,1702,20108,2,8,5.0
1,6220790,19:18:03,20:19:13,01/01/2024,01/01/2024,0,1702,20108,5,0,
1,6220790,19:18:03,20:19:13,01/01/2024,01/01/2024,0,1702,20108,6,24,
1,6220790,19:18:03,20:19:13,01/01/2024,01/01/2024,0,1702,20108,1,0,
1,6220790,19:18:03,20:19:13,01/01/2024,01/01/2024,0,1702,20108,1,0,
1,6220790,20:33:41,21:17:54,01/01/2024,01/01/2024,1,1702,20108,5,20,
1,6220790,20:33:41,21:17:54,01/01/2024,01/01/2024,1,1702,20108,5,21,25.0
1,6220790,20:33:41,21:17:54,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220790,20:33:41,21:17:54,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220790,20:33:41,21:17:54,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220790,20:33:41,21:17:54,01/01/2024,01/01/2024,1,1702,20108,1,0,
1,6220790,20:33:41,21:17:54,01/01/2024,01/01/2024,1,1702,20108,1,4,
1,6220790,21:18:08,22:13:30,01/01/2024,01/01/2024,0,1702,20108,5,21,25.0
1,6220790,21:18:08,22:13:30,01/01/2024,01/01/2024,0,1702,20108,1,4,
1,6220539,05:30:27,06:14:21,01/01/2024,01/01/2024,1,1702,20110,4,0,
1,6220539,05:30:27,06:14:21,01/01/2024,01/01/2024,1,1702,20110,1,0,
1,6220539,05:30:27,06:14:21,01/01/2024,01/01/2024,1,1702,20110,2,0,
1,6220539,05:30:27,06:14:21,01/01/2024,01/01/2024,1,1702,20110,6,24,
1,6220539,06:14:24,07:15:59,01/01/2024,01/01/2024,0,1702,20110,10,40,
1,6220539,06:14:24,07:15:59,01/01/2024,01/01/2024,0,1702,20110,4,17,
1,6220539,06:14:24,07:15:59,01/01/2024,01/01/2024,0,1702,20110,1,0,
1,6220539,06:14:24,07:15:59,01/01/2024,01/01/2024,0,1702,20110,1,0,
1,6220539,07:16:02,08:00:42,01/01/2024,01/01/2024,1,1702,20110,1,4,25.0
1,6220539,07:16:02,08:00:42,01/01/2024,01/01/2024,1,1702,20110,1,0,
1,6220539,07:16:02,08:00:42,01/01/2024,01/01/2024,1,1702,20110,6,0,
