,Longitude,Latitude
227,-43.806964,-16.697943
228,-43.807039,-16.697898
229,-43.80504,-16.695193
230,-43.805097,-16.695139
231,-43.802751,-16.69527
232,-43.802742,-16.69518
233,-43.799958,-16.696601
234,-43.79067225315946,-16.70609367142364
235,-43.792226,-16.704799
236,-43.818627,-16.689369
237,-43.81874,-16.689343
238,-43.81829,-16.687795
239,-43.818393,-16.687759
240,-43.819396,-16.686319
241,-43.819564,-16.686455
242,-43.821829,-16.684091
243,-43.821893,-16.684326
244,-43.824385,-16.681729
245,-43.824609,-16.68182
246,-43.826233,-16.680013
247,-43.826401,-16.680167
248,-43.825746,-16.676856
249,-43.82583,-16.676892
250,-43.825496,-16.674748
251,-43.82559,-16.674704
252,-43.826166,-16.671028
253,-43.82625,-16.671074
254,-43.827622,-16.668994
255,-43.827203,-16.673167
256,-43.825666,-16.673068
257,-43.828302,-16.674484
258,-43.828236,-16.674466
259,-43.827066,-16.67567
260,-43.826702,-16.679961
261,-43.826654,-16.680096
262,-43.827583,-16.68162
263,-43.827489,-16.681665
264,-43.828571,-16.682611
265,-43.828514,-16.682683
266,-43.832805,-16.684894
267,-43.834744,-16.686776
268,-43.834659,-16.686848
269,-43.836177,-16.688673
270,-43.838194,-16.689995
271,-43.838081,-16.690058
272,-43.840721,-16.690967
273,-43.840673,-16.691048
274,-43.844584,-16.731553
275,-43.844434,-16.731498
276,-43.841274,-16.732908
277,-43.841274,-16.732872
278,-43.839741,-16.73355
279,-43.839685,-16.733468
280,-43.841609,-16.731852
281,-43.840281,-16.729567
282,-43.83787,-16.726589
283,-43.836639,-16.725407
284,-43.837807,-16.72611
285,-43.83831,-16.72661
286,-43.840424,-16.729207
287,-43.841788,-16.731591
288,-43.83734,-16.704072
289,-43.837481,-16.704109
290,-43.838505,-16.702271
291,-43.838955,-16.700719
292,-43.83904,-16.700665
293,-43.837495,-16.701678
294,-43.837562,-16.701597
295,-43.835478,-16.700293
296,-43.835534,-16.700356
297,-43.836606,-16.698265
298,-43.836691,-16.698284
299,-43.835484,-16.69468
300,-43.835578,-16.69468
301,-43.836403,-16.693058
302,-43.83646,-16.693086
303,-43.836745,-16.692454
304,-43.836801,-16.692473
305,-43.835662,-16.690107
306,-43.835718,-16.690135
307,-43.83464,-16.67922
308,-43.836838,-16.677
309,-43.838169,-16.677125
310,-43.837662,-16.678794
311,-43.835317,-16.677371
312,-43.834762,-16.679175
313,-43.834746,-16.683351
314,-43.83469,-16.683341
315,-43.84221,-16.691184
316,-43.842285,-16.691184
317,-43.843225,-16.689373
318,-43.843281,-16.689382
319,-43.844232,-16.688782
